scale,split,variant,curve,selected,mae,rmse,mape,r2,huber_log
25,train,pow,cosine_24000.csv,True,0.003358300100995465,0.005150800625237029,0.0009389298047167022,0.9989622915059997,9.386417551496122e-05
25,train,pow_theta,cosine_24000.csv,False,0.0033714057370419002,0.005153143906432416,0.0009428256991137977,0.9989613471107115,9.429389256730579e-05
25,train,pow,constant_24000.csv,True,0.0017634056844783466,0.0030902303978241376,0.0004926905204109385,0.9995654192076563,3.392459432707538e-05
25,train,pow_theta,constant_24000.csv,False,0.0017622645953338624,0.003094635071014445,0.000492311523178549,0.9995641794615433,3.392598910892415e-05
25,train,pow,wsdcon_9.csv,True,0.002537828170649457,0.0036814344097317393,0.0006905707786886634,0.9994869266792582,3.562647101197013e-05
25,train,pow_theta,wsdcon_9.csv,False,0.002515449639901495,0.003680965925746432,0.0006840801449742328,0.9994870572540904,3.553243652077918e-05
25,test,pow,constant_72000.csv,True,0.005832759904340912,0.006830314194233439,0.0017612018923794746,0.9967829875553538,0.0007245005072959946
25,test,pow_theta,constant_72000.csv,False,0.0058282535273033766,0.006823759077982857,0.0017598568264726724,0.996789159386058,0.0007237416350710808
25,test,pow,cosine_72000.csv,True,0.010427542479686254,0.011385414913137588,0.003184241949893305,0.9931788479099575,0.0014751747275709216
25,test,pow_theta,cosine_72000.csv,False,0.010454064398161928,0.011415503619503027,0.00319235054489155,0.9931427471896025,0.0014796136782877492
25,test,pow,wsd_20000_24000.csv,True,0.0021274013999718656,0.0031308069645386138,0.000599368530443478,0.9995843071317874,5.229347085555323e-05
25,test,pow_theta,wsd_20000_24000.csv,False,0.00213211866852609,0.0031334732160410504,0.0006009184646084383,0.9995835988072634,5.252765514596941e-05
25,test,pow,wsdld_20000_24000.csv,True,0.0019816184988622073,0.0029905897288976793,0.0005547599307842662,0.9996087696115917,4.645185550128725e-05
25,test,pow_theta,wsdld_20000_24000.csv,False,0.001987501157045578,0.002993002940000013,0.0005566540032070611,0.9996081379619676,4.669353799149583e-05
25,test,pow,wsdcon_3.csv,True,0.004313776526263753,0.004911024187558046,0.001209311064518157,0.9990830242665885,7.226654476635147e-05
25,test,pow_theta,wsdcon_3.csv,False,0.004177073605125552,0.004791576178972958,0.0011693621365879436,0.9991270879455223,6.880155535826825e-05
25,test,pow,wsdcon_18.csv,True,0.0037220748211836026,0.004389699751736221,0.001035808446453917,0.9992159390704316,5.732709676784219e-05
25,test,pow_theta,wsdcon_18.csv,False,0.003733581825262117,0.004398663345841974,0.0010392485104856802,0.9992127337580966,5.756108448419155e-05
100,train,pow,cosine_24000.csv,True,0.0018630591715598456,0.0022471963367566815,0.0005953699542218967,0.9998281531201401,4.316037858005726e-05
100,train,pow_theta,cosine_24000.csv,False,0.0018830036713766009,0.002271547022045739,0.0006018232071501325,0.9998244086663186,4.405654622565863e-05
100,train,pow,constant_24000.csv,True,0.0007095530551710067,0.0009523062802479402,0.00022061015949834264,0.999960491338253,7.049616768853044e-06
100,train,pow_theta,constant_24000.csv,False,0.0007107363425930076,0.0009530022853919134,0.0002209992443015146,0.9999604335663344,7.061531396931799e-06
100,train,pow,wsdcon_9.csv,True,0.0016208029547583648,0.0019246454069363713,0.0005119868935652371,0.9998748773798891,2.0174412082215217e-05
100,train,pow_theta,wsdcon_9.csv,False,0.001643279244410005,0.0019510088970563267,0.0005192197505228394,0.9998714260830721,2.074660360033885e-05
100,test,pow,constant_72000.csv,True,0.002593328908049976,0.00350043489249113,0.0008460595055741015,0.9992207673327584,0.00025771132619015143
100,test,pow_theta,constant_72000.csv,False,0.002597866659378772,0.003503419029461418,0.0008475785765362728,0.999219438167519,0.00025837654377164923
