mean_delta,median_delta,nonharm,rows,test_curve,test_label,wins,worst_delta
-38.7827310729828,-39.417859222497086,3,3,wsd_20000_24000.csv,WSD sharp,3,-29.5084918638418
-26.792269754107906,-31.681286986452008,3,3,wsdld_20000_24000.csv,WSD linear,3,-16.880609023662686
-56.60014563139189,-55.24595238697489,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-52.87815483344662
-27.89040275416025,-27.87233648379296,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-27.398735435516265
-18.32156281039747,-15.025693297652687,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-14.273967180468016
