cosine_only_mpl_mae,official_mpl_mae,scale,strict_vs_official_delta_pct,test_curve,test_label
0.004303325702859985,0.003408385839825258,25,26.256999796731016,wsd_20000_24000.csv,WSD sharp
0.003860602372604268,0.0031360955249893426,25,23.102193215794586,wsdld_20000_24000.csv,WSD linear
0.008591406057766149,0.004487187642230267,25,91.46527274477788,wsdcon_3.csv,WSD-con 3e-5
0.006052212378600692,0.002926482771138891,25,106.80840626460855,wsdcon_9.csv,WSD-con 9e-5
0.004134387912738256,0.002504818961791151,25,65.0573544757035,wsdcon_18.csv,WSD-con 18e-5
0.004344890305179187,0.0037480705220761528,100,15.923387235852783,wsd_20000_24000.csv,WSD sharp
0.0036178807709199698,0.003248313740665229,100,11.37719628581988,wsdld_20000_24000.csv,WSD linear
0.007928074250295227,0.0056693997340904675,100,39.83974710097091,wsdcon_3.csv,WSD-con 3e-5
0.0062566970131816045,0.004934623402238123,100,26.791783347516418,wsdcon_9.csv,WSD-con 9e-5
0.0026712241180200675,0.0013816404339982303,100,93.33714129153006,wsdcon_18.csv,WSD-con 18e-5
0.007276453411883992,0.004701998914275349,400,54.75234138809677,wsd_20000_24000.csv,WSD sharp
0.006065618893503333,0.0038535563963712593,400,57.403143216356845,wsdld_20000_24000.csv,WSD linear
0.015378430871178581,0.008173606778800102,400,88.14742729079703,wsdcon_3.csv,WSD-con 3e-5
0.009032886016726277,0.006687305974578527,400,35.07511172756801,wsdcon_9.csv,WSD-con 9e-5
0.004868849724276598,0.0025579541942073844,400,90.34155245243845,wsdcon_18.csv,WSD-con 18e-5
