mean_delta,median_delta,nonharm,rows,test_curve,test_label,wins,worst_delta
-54.26122522502009,-58.20753202008486,3,3,wsd_20000_24000.csv,WSD sharp,3,-40.477293275340145
-46.32810974659075,-50.664602484115804,3,3,wsdld_20000_24000.csv,WSD linear,3,-33.11707850120887
-57.07420515250743,-58.88321659173309,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-46.68155432650391
-17.005577021276896,-18.77624854971779,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-10.801466736917275
-12.985750211886762,-13.246430743723693,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-12.086561189900713
