base_mae,channel,config_id,corr_mae,curvature_coef,curvature_lambda,curvature_mode,curvature_tau,delta_pct,primary_coef,scale,shrink_curvature,signed_curvature_coef,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_raw_primary,smooth_rho,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_primary_retention,step_rho,target_retention,test_curve,test_label,train_curve,win
0.003408385839825258,smooth,11090,0.002028763507484023,0.0,4.0,signed_d2_lr,0.01,-40.477293275340145,0.026252974213881224,25,1,0,12000,4.0,8,0.05,0.10507485423708406,0.2,3000,20.0,8,0.01,,0.2,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,11090,0.0020975123081057234,0.0,4.0,signed_d2_lr,0.01,-33.11707850120887,0.026252974213881224,25,1,0,12000,4.0,8,0.05,0.10507485423708406,0.2,3000,20.0,8,0.01,,0.2,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,11090,0.0019723777286858343,0.0007701082729724536,4.0,signed_d2_lr,0.01,-56.04423336070914,0.030927915972514982,25,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.33759753823843036,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,11090,0.0023417676263809218,0.0007701082729724536,4.0,signed_d2_lr,0.01,-19.980132824442265,0.030927915972514982,25,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.6540377549281351,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,11090,0.0021885529734535364,0.0007701082729724536,4.0,signed_d2_lr,0.01,-12.626301268154661,0.030927915972514982,25,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.8061708923334336,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,11090,0.0015664111728033144,0.0,4.0,signed_d2_lr,0.01,-58.20753202008486,0.041227466002667336,100,1,0,12000,4.0,8,0.05,0.16500873179177106,0.2,3000,20.0,8,0.01,,0.2,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,11090,0.0016025684965202782,0.0,4.0,signed_d2_lr,0.01,-50.664602484115804,0.041227466002667336,100,1,0,12000,4.0,8,0.05,0.16500873179177106,0.2,3000,20.0,8,0.01,,0.2,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,11090,0.002955053747828671,0.0028075314990246045,4.0,signed_d2_lr,0.01,-47.8771318582505,0.03989607604254108,100,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.37209594869119805,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,11090,0.004557036093312687,0.0028075314990246045,4.0,signed_d2_lr,0.01,-7.651795854455267,0.03989607604254108,100,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.6865497553277395,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,11090,0.0012349442461776596,0.0028075314990246045,4.0,signed_d2_lr,0.01,-10.617537255771904,0.03989607604254108,100,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.8266142183482974,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004701998914275349,smooth,11090,0.0016880716653619192,0.0,4.0,signed_d2_lr,0.01,-64.09885037963525,0.05384132850099233,400,1,0,12000,4.0,8,0.05,0.21520148368160166,0.2,3000,20.0,8,0.01,,0.2,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,11090,0.0017262912135956674,0.0,4.0,signed_d2_lr,0.01,-55.20264825444758,0.05384132850099233,400,1,0,12000,4.0,8,0.05,0.21520148368160166,0.2,3000,20.0,8,0.01,,0.2,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008173606778800102,step,11090,0.003081903899984459,0.04039695500127539,4.0,signed_d2_lr,0.01,-62.294443770184806,0.06665900954167887,400,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02256683658042501,0.2,0.35496368690656793,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006687305974578527,step,11090,0.005612043548651589,0.04039695500127539,4.0,signed_d2_lr,0.01,-16.079156988098,0.06665900954167887,400,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02256683658042501,0.2,0.6588648321620602,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0025579541942073844,step,11090,0.0022689766333720517,0.04039695500127539,4.0,signed_d2_lr,0.01,-11.297214058396232,0.06665900954167887,400,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02256683658042501,0.2,0.7941659736785299,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.003408385839825258,smooth,11113,0.002028763507484023,0.0,10.0,signed_d2_lr,0.003,-40.477293275340145,0.026252974213881224,25,1,0,12000,4.0,8,0.05,0.10507485423708406,0.2,3000,20.0,8,0.01,,0.2,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,11113,0.0020975123081057234,0.0,10.0,signed_d2_lr,0.003,-33.11707850120887,0.026252974213881224,25,1,0,12000,4.0,8,0.05,0.10507485423708406,0.2,3000,20.0,8,0.01,,0.2,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,11113,0.0019796603042251124,0.0,10.0,signed_d2_lr,0.003,-55.88193625793725,0.03092800492625523,25,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.33973652826346884,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,11113,0.0023474423306347665,0.0,10.0,signed_d2_lr,0.003,-19.78622413959338,0.03092800492625523,25,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.6567635062992938,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,11113,0.0021918224209999944,0.0,10.0,signed_d2_lr,0.003,-12.495774966799933,0.03092800492625523,25,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.8083884653846111,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,11113,0.0015664111728033144,0.0,10.0,signed_d2_lr,0.003,-58.20753202008486,0.041227466002667336,100,1,0,12000,4.0,8,0.05,0.16500873179177106,0.2,3000,20.0,8,0.01,,0.2,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,11113,0.0016025684965202782,0.0,10.0,signed_d2_lr,0.003,-50.664602484115804,0.041227466002667336,100,1,0,12000,4.0,8,0.05,0.16500873179177106,0.2,3000,20.0,8,0.01,,0.2,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,11113,0.002927489300411366,0.006167589261050701,10.0,signed_d2_lr,0.003,-48.36332878755781,0.039896435068768325,100,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.3663023202837962,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,11113,0.0045355810183874724,0.006167589261050701,10.0,signed_d2_lr,0.003,-8.08658232499896,0.039896435068768325,100,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.6788959416003538,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,11113,0.0012225769758262616,0.006167589261050701,10.0,signed_d2_lr,0.003,-11.512652225417753,0.039896435068768325,100,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02246245799217717,0.2,0.8198808714208264,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004701998914275349,smooth,11113,0.0016880716653619192,0.0,10.0,signed_d2_lr,0.003,-64.09885037963525,0.05384132850099233,400,1,0,12000,4.0,8,0.05,0.21520148368160166,0.2,3000,20.0,8,0.01,,0.2,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,11113,0.0017262912135956674,0.0,10.0,signed_d2_lr,0.003,-55.20264825444758,0.05384132850099233,400,1,0,12000,4.0,8,0.05,0.21520148368160166,0.2,3000,20.0,8,0.01,,0.2,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008173606778800102,step,11113,0.002946605269813337,0.05695329561037267,10.0,signed_d2_lr,0.003,-63.94975499119981,0.06666391018494212,400,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02256683658042501,0.2,0.3654281519579804,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006687305974578527,step,11113,0.005506419380927484,0.05695329561037267,10.0,signed_d2_lr,0.003,-17.658629620659305,0.06666391018494212,400,1,0,12000,4.0,8,0.05,,0.2,3000,20.0,8,0.01,0.02256683658042501,0.2,0.6738289403106937,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
