gate_mode,gate_sign,gate_tau,mean_delta,median_delta,nonharm,rows,shrink_gate,source_tail_gate_coef,source_tail_mean_delta,source_tail_worst_delta,tail_config_id,threshold,wins,worst_delta
late_lr,signed,0.03,-37.668246127276035,-40.477293275340145,15,15,0,0.0366328544588442,-36.83247302322372,-7.488968990310429,111,0.1,15,-10.801466736917275
sqrt_lr,signed,0.1,-37.659414186205865,-40.477293275340145,15,15,1,0.006717900177526827,-37.27483229690504,-9.150389201603225,42,0.1,15,-10.801466736917275
sqrt_lr,signed,0.1,-37.65148719916394,-40.477293275340145,15,15,0,0.009069165239661219,-37.08531230243761,-8.494458148047567,43,0.1,15,-10.801466736917275
late_lr,signed,0.03,-37.65088731384495,-40.477293275340145,15,15,1,0.027135447747292,-37.080655701906295,-8.434623413354092,110,0.1,15,-10.801466736917275
one_minus_lr,signed,0.3,-37.62455827807726,-40.477293275340145,15,15,0,0.0008948867157124947,-37.58732353741015,-10.465076527569018,95,0.1,15,-10.801466736917275
one_minus_lr,signed,0.3,-37.59914405891051,-40.477293275340145,15,15,1,0.000662879048675922,-37.574160078535414,-10.56909086634944,94,0.1,15,-10.801466736917275
one_minus_lr,signed,0.3,-37.59067999597564,-40.477293275340145,15,15,0,0.0008948867157124947,-37.58732353741015,-10.465076527569018,95,0.3,15,-10.465076527569018
lr,signed,0.1,-37.58819499308347,-40.477293275340145,15,15,0,0.0056516934669787015,-37.40662671002945,-10.1236795662754,19,0.1,15,-10.801466736917275
one_minus_lr,signed,0.3,-37.58732353741015,-40.477293275340145,15,15,0,0.0008948867157124947,-37.58732353741015,-10.465076527569018,95,0.6,15,-10.465076527569018
one_minus_lr,signed,0.3,-37.576251294759835,-40.477293275340145,15,15,1,0.000662879048675922,-37.574160078535414,-10.56909086634944,94,0.3,15,-10.56909086634944
one_minus_lr,signed,0.3,-37.574160078535414,-40.477293275340145,15,15,1,0.000662879048675922,-37.574160078535414,-10.56909086634944,94,0.6,15,-10.56909086634944
lr,signed,0.1,-37.57195276382474,-40.477293275340145,15,15,1,0.004186439605169409,-37.455632165415516,-10.309273587846446,18,0.1,15,-10.801466736917275
sqrt_lr,signed,0.3,-37.56732553889946,-40.477293275340145,15,15,0,0.0010142657348395498,-37.53301272611601,-10.543459565355839,47,0.1,15,-10.801466736917275
sqrt_lr,signed,0.3,-37.55672220076242,-40.477293275340145,15,15,1,0.0007513079517329998,-37.533151448536245,-10.616816429601961,46,0.1,15,-10.801466736917275
late_lr,signed,0.1,-37.55230819343801,-40.477293275340145,15,15,0,0.0033243497049370565,-37.51257664218268,-10.5008648794502,115,0.1,15,-10.801466736917275
late_lr,signed,0.1,-37.54498901603855,-40.477293275340145,15,15,1,0.002462481262916338,-37.51653427006604,-10.586680930609937,114,0.1,15,-10.801466736917275
lr,signed,0.3,-37.53832152686496,-40.477293275340145,15,15,0,0.0006291827247526623,-37.52863876857581,-10.726011097387754,23,0.1,15,-10.801466736917275
sqrt_lr,signed,0.3,-37.53809895719285,-40.477293275340145,15,15,0,0.0010142657348395498,-37.53301272611601,-10.543459565355839,47,0.3,15,-10.543459565355839
sqrt_lr,signed,0.3,-37.5368366872796,-40.477293275340145,15,15,1,0.0007513079517329998,-37.533151448536245,-10.616816429601961,46,0.3,15,-10.616816429601961
