base_mae,cap,corr_mae,delta_pct,estimator,kappa,scale,tau_multiplier,test_curve,test_label,train_curve,train_label,win
0.0013816404339982303,,0.001290219873722647,-6.616812741288114,tau_x_0p00_nocap,0.0275076992446868,100,0.0,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,1
0.005612615040270773,,0.005257599566994335,-6.325313080073824,tau_x_0p00_nocap,0.04972318340312621,400,0.0,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,1
0.004701998914275349,,0.003158891338664363,-32.81811850117797,tau_x_0p00_nocap,0.04972318340312621,400,0.0,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,,0.0027375896854170277,-28.95939740249015,tau_x_0p00_nocap,0.04972318340312621,400,0.0,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1
0.008173606778800102,,0.006105324203671644,-25.30440515554242,tau_x_0p00_nocap,0.04972318340312621,400,0.0,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,1
0.006687305974578527,,0.006706999152479596,0.29448597052281755,tau_x_0p00_nocap,0.04972318340312621,400,0.0,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,0
0.0025579541942073844,,0.0025491212553735093,-0.34531262732842016,tau_x_0p00_nocap,0.04972318340312621,400,0.0,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,1
0.00744534704076948,,0.0072028878322722475,-3.2565199065881956,tau_x_0p00_nocap,0.021340585307671644,25,0.0,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,1
0.003408385839825258,,0.002743474050432971,-19.508113829811467,tau_x_0p00_nocap,0.021340585307671644,25,0.0,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
0.0031360955249893426,,0.002657627058959307,-15.256820534242543,tau_x_0p00_nocap,0.021340585307671644,25,0.0,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,,0.0029740704750567466,-33.72083558381026,tau_x_0p00_nocap,0.021340585307671644,25,0.0,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
0.002926482771138891,,0.0023985400424518695,-18.040178944281415,tau_x_0p00_nocap,0.021340585307671644,25,0.0,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,1
0.002504818961791151,,0.002068177102922256,-17.432072558116552,tau_x_0p00_nocap,0.021340585307671644,25,0.0,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,1
0.007265129575917493,,0.006916542856643873,-4.79807986397266,tau_x_0p00_nocap,0.03069187805017793,100,0.0,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,1
0.0037480705220761528,,0.0027973913447912053,-25.364495456674106,tau_x_0p00_nocap,0.03069187805017793,100,0.0,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
0.003248313740665229,,0.002564207946635059,-21.060336181999162,tau_x_0p00_nocap,0.03069187805017793,100,0.0,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,,0.005040272882531422,-11.096886461825317,tau_x_0p00_nocap,0.03069187805017793,100,0.0,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
0.004934623402238123,,0.005139994645226714,4.161842277476424,tau_x_0p00_nocap,0.03069187805017793,100,0.0,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0
0.0013816404339982303,,0.0013469783013287686,-2.508766522499306,tau_x_0p00_nocap,0.03069187805017793,100,0.0,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,1
0.005612615040270773,,0.005223116881575927,-6.939691318577513,tau_x_0p00_nocap,0.0551199090228325,400,0.0,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,1
0.004701998914275349,,0.0029932714303871856,-36.340448286800694,tau_x_0p00_nocap,0.0551199090228325,400,0.0,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
