cap,estimator,max_kappa,mean_delta_pct,mean_kappa,tau_multiplier,test_curve,test_label,tests,train_curve,train_label,wins
0.03,tau_x_0p00_cap_0p03,0.03,-10.007339193137932,0.020713394392465428,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.03,tau_x_0p00_cap_0p03,0.027974617189197106,-3.233685460853438,0.02230788883126493,0.0,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p00_cap_0p03,0.027974617189197106,-17.57269547741082,0.02230788883126493,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p00_cap_0p03,0.027974617189197106,-14.55202926552966,0.02230788883126493,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p00_cap_0p03,0.027974617189197106,-29.503708088326317,0.02230788883126493,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p00_cap_0p03,0.027974617189197106,-9.897575395312204,0.02230788883126493,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p00_cap_0p03,0.027974617189197106,-12.1716747658727,0.02230788883126493,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
,tau_x_0p00_nocap,0.011792019169979252,-1.0201208158181114,0.006588883881212826,0.0,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
,tau_x_0p00_nocap,0.011792019169979252,-5.678357190208897,0.006588883881212826,0.0,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
,tau_x_0p00_nocap,0.011792019169979252,-4.597581952607622,0.006588883881212826,0.0,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
