group,mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,train_size,wins,worst_delta_pct
main_matrix,-12.054701483769392,0.8333333333333334,retention_gate_0p05,90,90,4,75,0.0
extra_holdout,0.0,0.0,retention_gate_0p05,135,135,4,0,0.0
all,-4.821880593507757,0.3333333333333333,retention_gate_0p05,225,225,4,75,0.0
main_matrix,-12.179663951264855,0.8333333333333334,retention_gate_0p05,18,18,5,15,0.0
extra_holdout,0.0,0.0,retention_gate_0p05,54,54,5,0,0.0
all,-3.044915987816213,0.20833333333333334,retention_gate_0p05,72,72,5,15,0.0
main_matrix,-11.57531144628541,0.8333333333333334,retention_gate_0p1,90,90,1,75,0.0
extra_holdout,0.0,0.0,retention_gate_0p1,54,54,1,0,0.0
all,-7.234569653928383,0.5208333333333334,retention_gate_0p1,144,144,1,75,0.0
main_matrix,-10.916961429289222,0.8333333333333334,retention_gate_0p1,180,180,2,150,0.0
extra_holdout,0.0,0.0,retention_gate_0p1,135,135,2,0,0.0
all,-6.2382636738795565,0.47619047619047616,retention_gate_0p1,315,315,2,150,0.0
main_matrix,-11.417171951018393,0.8333333333333334,retention_gate_0p1,180,180,3,150,0.0
extra_holdout,0.0,0.0,retention_gate_0p1,180,180,3,0,0.0
all,-5.708585975509196,0.4166666666666667,retention_gate_0p1,360,360,3,150,0.0
main_matrix,-12.054701483769392,0.8333333333333334,retention_gate_0p1,90,90,4,75,0.0
extra_holdout,0.0,0.0,retention_gate_0p1,135,135,4,0,0.0
all,-4.821880593507757,0.3333333333333333,retention_gate_0p1,225,225,4,75,0.0
main_matrix,-12.179663951264855,0.8333333333333334,retention_gate_0p1,18,18,5,15,0.0
extra_holdout,0.0,0.0,retention_gate_0p1,54,54,5,0,0.0
all,-3.044915987816213,0.20833333333333334,retention_gate_0p1,72,72,5,15,0.0
main_matrix,-11.834062207431778,0.9333333333333333,train_relative_gate_0p05,90,90,1,84,0.0
extra_holdout,0.6453349401831114,0.05555555555555555,train_relative_gate_0p05,51,54,1,0,21.762086533250226
all,-7.154288277076197,0.6041666666666666,train_relative_gate_0p05,141,144,1,84,21.762086533250226
main_matrix,-11.247126262631365,0.9833333333333333,train_relative_gate_0p05,180,180,2,177,0.0
extra_holdout,0.8271146474335742,0.1111111111111111,train_relative_gate_0p05,120,135,2,0,22.150408076758097
all,-6.072451586889249,0.6095238095238096,train_relative_gate_0p05,300,315,2,177,22.150408076758097
main_matrix,-11.809760245457346,1.0,train_relative_gate_0p05,180,180,3,180,-1.199780662356864
extra_holdout,1.1070082717007697,0.16666666666666666,train_relative_gate_0p05,150,180,3,0,22.53638404133347
all,-5.351375986878288,0.5833333333333334,train_relative_gate_0p05,330,360,3,180,22.53638404133347
main_matrix,-12.454450803783404,1.0,train_relative_gate_0p05,90,90,4,90,-1.523001737841534
extra_holdout,1.5437870498018411,0.2222222222222222,train_relative_gate_0p05,105,135,4,0,18.6747219793318
all,-4.055508091632257,0.5333333333333333,train_relative_gate_0p05,195,225,4,90,18.6747219793318
main_matrix,-12.57775186582335,1.0,train_relative_gate_0p05,18,18,5,18,-1.6006129471590969
extra_holdout,1.906617013561233,0.2777777777777778,train_relative_gate_0p05,39,54,5,0,15.013467063853291
all,-1.714475206284912,0.4583333333333333,train_relative_gate_0p05,57,72,5,18,15.013467063853291
main_matrix,-11.640587718105925,0.8555555555555555,train_relative_gate_0p1,90,90,1,77,0.0
extra_holdout,0.6453349401831114,0.05555555555555555,train_relative_gate_0p1,51,54,1,0,21.762086533250226
all,-7.033366721247538,0.5555555555555556,train_relative_gate_0p1,141,144,1,77,21.762086533250226
main_matrix,-11.018410497111615,0.8833333333333333,train_relative_gate_0p1,180,180,2,159,0.0
extra_holdout,0.8271146474335742,0.1111111111111111,train_relative_gate_0p1,120,135,2,0,22.150408076758097
all,-5.941756863735107,0.5523809523809524,train_relative_gate_0p1,300,315,2,159,22.150408076758097
main_matrix,-11.490817902399057,0.8666666666666667,train_relative_gate_0p1,180,180,3,156,0.0
extra_holdout,1.1070082717007697,0.16666666666666666,train_relative_gate_0p1,150,180,3,0,22.53638404133347
all,-5.191904815349144,0.5166666666666667,train_relative_gate_0p1,330,360,3,156,22.53638404133347
main_matrix,-12.054701483769392,0.8333333333333334,train_relative_gate_0p1,90,90,4,75,0.0
extra_holdout,1.5437870498018411,0.2222222222222222,train_relative_gate_0p1,105,135,4,0,18.6747219793318
all,-3.8956083636266525,0.4666666666666667,train_relative_gate_0p1,195,225,4,75,18.6747219793318
main_matrix,-12.179663951264855,0.8333333333333334,train_relative_gate_0p1,18,18,5,15,0.0
extra_holdout,1.906617013561233,0.2777777777777778,train_relative_gate_0p1,39,54,5,0,15.013467063853291
all,-1.6149532276452883,0.4166666666666667,train_relative_gate_0p1,57,72,5,15,15.013467063853291
main_matrix,-11.57531144628541,0.8333333333333334,train_relative_gate_0p2,90,90,1,75,0.0
extra_holdout,0.6453349401831114,0.05555555555555555,train_relative_gate_0p2,51,54,1,0,21.762086533250226
all,-6.992569051359715,0.5416666666666666,train_relative_gate_0p2,141,144,1,75,21.762086533250226
main_matrix,-10.916961429289222,0.8333333333333334,train_relative_gate_0p2,180,180,2,150,0.0
extra_holdout,0.8271146474335742,0.1111111111111111,train_relative_gate_0p2,120,135,2,0,22.150408076758097
all,-5.883785967836596,0.5238095238095238,train_relative_gate_0p2,300,315,2,150,22.150408076758097
main_matrix,-11.417171951018393,0.8333333333333334,train_relative_gate_0p2,180,180,3,150,0.0
extra_holdout,1.1070082717007697,0.16666666666666666,train_relative_gate_0p2,150,180,3,0,22.53638404133347
all,-5.155081839658812,0.5,train_relative_gate_0p2,330,360,3,150,22.53638404133347
main_matrix,-12.054701483769392,0.8333333333333334,train_relative_gate_0p2,90,90,4,75,0.0
extra_holdout,1.5437870498018411,0.2222222222222222,train_relative_gate_0p2,105,135,4,0,18.6747219793318
all,-3.8956083636266525,0.4666666666666667,train_relative_gate_0p2,195,225,4,75,18.6747219793318
main_matrix,-12.179663951264855,0.8333333333333334,train_relative_gate_0p2,18,18,5,15,0.0
extra_holdout,1.906617013561233,0.2777777777777778,train_relative_gate_0p2,39,54,5,0,15.013467063853291
all,-1.6149532276452883,0.4166666666666667,train_relative_gate_0p2,57,72,5,15,15.013467063853291
main_matrix,-8.883302460376472,0.6333333333333333,train_relative_gate_0p5,90,90,1,57,0.0
extra_holdout,0.0,0.0,train_relative_gate_0p5,54,54,1,0,0.0
all,-5.552064037735295,0.3958333333333333,train_relative_gate_0p5,144,144,1,57,0.0
main_matrix,-10.143562693111608,0.7833333333333333,train_relative_gate_0p5,180,180,2,141,0.0
extra_holdout,0.0,0.0,train_relative_gate_0p5,135,135,2,0,0.0
all,-5.796321538920918,0.44761904761904764,train_relative_gate_0p5,315,315,2,141,0.0
main_matrix,-11.417171951018393,0.8333333333333334,train_relative_gate_0p5,180,180,3,150,0.0
extra_holdout,0.0,0.0,train_relative_gate_0p5,180,180,3,0,0.0
all,-5.708585975509196,0.4166666666666667,train_relative_gate_0p5,360,360,3,150,0.0
main_matrix,-12.054701483769392,0.8333333333333334,train_relative_gate_0p5,90,90,4,75,0.0
extra_holdout,0.0,0.0,train_relative_gate_0p5,135,135,4,0,0.0
all,-4.821880593507757,0.3333333333333333,train_relative_gate_0p5,225,225,4,75,0.0
main_matrix,-12.179663951264855,0.8333333333333334,train_relative_gate_0p5,18,18,5,15,0.0
extra_holdout,0.0,0.0,train_relative_gate_0p5,54,54,5,0,0.0
all,-3.044915987816213,0.20833333333333334,train_relative_gate_0p5,72,72,5,15,0.0
main_matrix,-7.096028416079874,0.5,train_relative_gate_1p0,90,90,1,45,0.0
extra_holdout,0.0,0.0,train_relative_gate_1p0,54,54,1,0,0.0
all,-4.435017760049921,0.3125,train_relative_gate_1p0,144,144,1,45,0.0
main_matrix,-9.051283427249015,0.6777777777777778,train_relative_gate_1p0,180,180,2,122,0.0
extra_holdout,0.0,0.0,train_relative_gate_1p0,135,135,2,0,0.0
all,-5.172161958428009,0.3873015873015873,train_relative_gate_1p0,315,315,2,122,0.0
main_matrix,-10.333037099413788,0.75,train_relative_gate_1p0,180,180,3,135,0.0
extra_holdout,0.0,0.0,train_relative_gate_1p0,180,180,3,0,0.0
all,-5.166518549706894,0.375,train_relative_gate_1p0,360,360,3,135,0.0
main_matrix,-11.656878227531585,0.8,train_relative_gate_1p0,90,90,4,72,0.0
extra_holdout,0.0,0.0,train_relative_gate_1p0,135,135,4,0,0.0
all,-4.662751291012634,0.32,train_relative_gate_1p0,225,225,4,72,0.0
main_matrix,-12.179663951264855,0.8333333333333334,train_relative_gate_1p0,18,18,5,15,0.0
extra_holdout,0.0,0.0,train_relative_gate_1p0,54,54,5,0,0.0
all,-3.044915987816213,0.20833333333333334,train_relative_gate_1p0,72,72,5,15,0.0
