group,mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,train_size,wins,worst_delta_pct
all,-5.166518549706894,0.375,floor_train_relative_gate_1p0,360,360,3,135,0.0
main_matrix,-11.656878227531585,0.8,floor_train_relative_gate_1p0,90,90,4,72,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_1p0,135,135,4,0,0.0
all,-4.662751291012634,0.32,floor_train_relative_gate_1p0,225,225,4,72,0.0
main_matrix,-12.179663951264855,0.8333333333333334,floor_train_relative_gate_1p0,18,18,5,15,0.0
extra_holdout,0.0,0.0,floor_train_relative_gate_1p0,54,54,5,0,0.0
all,-3.044915987816213,0.20833333333333334,floor_train_relative_gate_1p0,72,72,5,15,0.0
main_matrix,-11.57531144628541,0.8333333333333334,peak_mean_gate,90,90,1,75,0.0
extra_holdout,0.0,0.0,peak_mean_gate,54,54,1,0,0.0
all,-7.234569653928383,0.5208333333333334,peak_mean_gate,144,144,1,75,0.0
main_matrix,-10.916961429289222,0.8333333333333334,peak_mean_gate,180,180,2,150,0.0
extra_holdout,0.0,0.0,peak_mean_gate,135,135,2,0,0.0
all,-6.2382636738795565,0.47619047619047616,peak_mean_gate,315,315,2,150,0.0
main_matrix,-11.417171951018393,0.8333333333333334,peak_mean_gate,180,180,3,150,0.0
extra_holdout,0.0,0.0,peak_mean_gate,180,180,3,0,0.0
all,-5.708585975509196,0.4166666666666667,peak_mean_gate,360,360,3,150,0.0
main_matrix,-12.054701483769392,0.8333333333333334,peak_mean_gate,90,90,4,75,0.0
extra_holdout,0.0,0.0,peak_mean_gate,135,135,4,0,0.0
all,-4.821880593507757,0.3333333333333333,peak_mean_gate,225,225,4,75,0.0
main_matrix,-12.179663951264855,0.8333333333333334,peak_mean_gate,18,18,5,15,0.0
extra_holdout,0.0,0.0,peak_mean_gate,54,54,5,0,0.0
all,-3.044915987816213,0.20833333333333334,peak_mean_gate,72,72,5,15,0.0
main_matrix,-11.951446181935287,1.0,raw_nextgen,90,90,1,90,-1.0263101049168721
extra_holdout,2.4120243430068893,1.0,raw_nextgen,36,54,1,0,21.762086533250226
all,-6.565144735081972,1.0,raw_nextgen,126,144,1,90,21.762086533250226
main_matrix,-11.28183101644426,1.0,raw_nextgen,180,180,2,180,-1.084384320380627
extra_holdout,2.188573413364257,1.0,raw_nextgen,90,135,2,0,22.150408076758097
all,-5.5088005465263254,1.0,raw_nextgen,270,315,2,180,22.150408076758097
main_matrix,-11.809760245457346,1.0,raw_nextgen,180,180,3,180,-1.199780662356864
extra_holdout,2.20605456612918,1.0,raw_nextgen,120,180,3,0,22.53638404133347
all,-4.801852839664083,1.0,raw_nextgen,300,360,3,180,22.53638404133347
