mean_delta,median_delta,nonharm,rows,test_curve,test_label,wins,worst_delta
-54.26122522502009,-58.20753202008486,3,3,wsd_20000_24000.csv,WSD sharp,3,-40.477293275340145
-46.32810974659075,-50.664602484115804,3,3,wsdld_20000_24000.csv,WSD linear,3,-33.11707850120887
-53.266162801849426,-58.0673805319839,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-42.11054973136993
-13.507451178837714,-13.854278334696325,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-5.525889670235474
-8.944082010112394,-8.619423820736172,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-6.052768981656975
