base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1580,0,8000,12,-6.803695768875655,0.08229080115067358,0.02015016796119049,0.4746148908293079,-7.620489682508447,10,0.02,0.0,0.0,0.0,0.05,15,7.0,20.0,10,16.336710495385386
1580,1,8000,12,-14.108818050428095,0.07486959570832899,0.02015016796119049,0.4746148908293079,-12.492758805419879,13,0.02,0.0,0.0,0.2,0.05,15,7.0,20.0,13,5.734906623840508
1580,2,8000,12,-18.011622242657474,0.07074670379591531,0.02015016796119049,0.4746148908293079,-15.969551152800932,14,0.02,0.0,0.0,0.35,0.05,15,7.0,20.0,14,1.4843012176068537
1580,3,8000,12,-20.809778876542033,0.06744839026598438,0.02015016796119049,0.4746148908293079,-18.12952097096324,15,0.02,0.0,0.0,0.5,0.05,15,7.0,20.0,15,-1.9161831073806534
1580,4,8000,12,-22.148485480462547,0.06559308890539824,0.02015016796119049,0.4746148908293079,-19.364131523854876,15,0.02,0.0,0.0,0.6,0.05,15,7.0,20.0,15,-3.828955540186052
1580,5,8000,12,-23.237683189944246,0.06320770144178747,0.02015016796119049,0.4746148908293079,-20.67532158278339,15,0.02,0.0,0.0,0.75,0.05,15,7.0,20.0,15,-6.081117679037651
1580,6,8000,12,-23.305986835879068,0.061198954104009974,0.02015016796119049,0.4746148908293079,-20.843545769747674,15,0.02,0.0,0.0,0.9,0.05,15,7.0,20.0,15,-5.6814501899613346
1580,7,8000,12,-22.956643243410305,0.06002718482363977,0.02015016796119049,0.4746148908293079,-20.843545769747674,15,0.02,0.0,0.0,1.0,0.05,15,7.0,20.0,15,-5.4483108213330915
1580,8,8000,12,-21.946648463961214,0.05755344967619159,0.02015016796119049,0.4746148908293079,-20.843545769747674,15,0.02,0.0,0.0,1.25,0.05,15,7.0,20.0,15,-4.9561277097845196
1580,9,8000,12,-20.81617654691284,0.05557446155823302,0.02015016796119049,0.4746148908293079,-20.60208884037126,15,0.02,0.0,0.0,1.5,0.05,15,7.0,20.0,15,-4.562381220545786
1580,10,8000,12,-12.630737811106012,0.07599687306790591,0.02015016796119049,0.4746148908293079,-10.569587411617409,10,0.02,0.0,0.2,0.0,0.05,15,7.0,20.0,10,16.336710495385386
1580,11,8000,12,-19.93586009265845,0.06857566762556133,0.02015016796119049,0.4746148908293079,-20.71454732625274,13,0.02,0.0,0.2,0.2,0.05,15,7.0,20.0,13,5.734906623840508
1580,12,8000,12,-23.838664284887837,0.06445277571314764,0.02015016796119049,0.4746148908293079,-20.71454732625274,14,0.02,0.0,0.2,0.35,0.05,15,7.0,20.0,14,1.4843012176068537
1580,13,8000,12,-26.636820918772393,0.06115446218321671,0.02015016796119049,0.4746148908293079,-25.89044802478503,15,0.02,0.0,0.2,0.5,0.05,15,7.0,20.0,15,-1.9161831073806534
1580,14,8000,12,-27.97552752269291,0.05929916082263057,0.02015016796119049,0.4746148908293079,-25.89044802478503,15,0.02,0.0,0.2,0.6,0.05,15,7.0,20.0,15,-3.828955540186052
