config_id,gate_mode,gate_sign,gate_tau,mean_delta,mean_step_curvature_coef,mean_step_gate_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_gate,wins,worst_delta
0,lr,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
1,lr,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
2,lr,signed,0.001,180.29771591260644,0.012403504245512939,1.8305397396011844,0.002606644052922861,205.42075091936036,6,15,1,6,659.8155287129898
3,lr,signed,0.001,266.27172324226177,0.012403504245512939,2.471228648461599,0.002606644052922861,286.9692857232223,6,15,0,6,904.8634859466173
4,lr,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
5,lr,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
6,lr,signed,0.003,121.96009302105931,0.013923945899929853,1.3620227860142942,0.010053748637957,136.59475107315814,6,15,1,6,485.2308015208866
7,lr,signed,0.003,185.83369312227208,0.013923945899929853,1.8387307611192973,0.010053748637957,209.6795128056244,6,15,0,6,668.1575017674832
8,lr,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
9,lr,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
10,lr,signed,0.01,-0.6613142844103218,0.01749403981335317,0.3444525242737469,0.032977490604857905,-15.471616636171625,9,15,1,9,108.34923944449311
11,lr,signed,0.01,15.380501120883553,0.01749403981335317,0.46501090776955833,0.032977490604857905,8.676872967434823,7,15,0,7,154.60684343122958
12,lr,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
13,lr,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
