decoupled_mean_delta_pct,decoupled_wins,decoupled_worst_delta_pct,rows,shared_window_mean_delta_pct,shared_window_wins,shared_window_worst_delta_pct,test_curve,test_label
-54.26122522502009,3,-40.477293275340145,3,-51.94710736418762,3,-40.873168385152916,wsd_20000_24000.csv,WSD sharp
-46.32810974659075,3,-33.11707850120887,3,-43.87553856813346,3,-33.01334508818162,wsdld_20000_24000.csv,WSD linear
-55.77784102712906,3,-47.275759389004214,3,-54.02289050387609,3,-44.466579146558146,wsdcon_3.csv,WSD-con 3e-5
-14.676061632590262,3,-9.045298593448237,3,-13.613567774774856,3,-6.288234382364233,wsdcon_9.csv,WSD-con 9e-5
-9.863136108644307,3,-6.289566272098146,3,-9.173387900397538,3,-6.081117679037651,wsdcon_18.csv,WSD-con 18e-5
-36.181274747994884,15,-6.289566272098146,15,-34.52649842227391,15,-6.081117679037651,ALL,All WSD targets
