adaptive_mean_delta_pct,adaptive_wins,adaptive_worst_delta_pct,rows,test_curve,test_label,window_mean_delta_pct,window_wins,window_worst_delta_pct
-43.92588311420465,3,-25.213615561587755,3,wsd_20000_24000.csv,WSD sharp,-51.94710736418762,3,-40.873168385152916
-35.8092508115413,3,-18.986120758717494,3,wsdld_20000_24000.csv,WSD linear,-43.87553856813346,3,-33.01334508818162
-53.511286943099385,3,-46.638518684957795,3,wsdcon_3.csv,WSD-con 3e-5,-54.02289050387609,3,-44.466579146558146
-14.10286819545855,3,-6.991012799088658,3,wsdcon_9.csv,WSD-con 9e-5,-13.613567774774856,3,-6.288234382364233
-8.97447237574283,3,-6.14035873473272,3,wsdcon_18.csv,WSD-con 18e-5,-9.173387900397538,3,-6.081117679037651
-31.264752288009344,15,-6.14035873473272,15,ALL,All WSD targets,-34.52649842227391,15,-6.081117679037651
