base_mae,basis_dim,coef,corr_mae,delta_pct,denominator,group,lambda,locality_factor,method,nonharm,nuisance,response_rule,role,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,win
0.003408385839825258,4,0.05059367388558115,0.002140406880447394,-37.20174355151268,0.00278313818924367,core_wsd,7.2284552974545955,0.8168498168498168,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,0.00014080918592510107,0.4273555312833288,0.016826710588931797,0.0015503144373614538,wsd_20000_24000.csv,WSD sharp,25,25,1
0.0031360955249893426,4,0.05063426452557229,0.0020761365149749304,-33.798683795450216,0.0027835779759718877,core_wsd,7.223478858982098,0.8168498168498168,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,0.00014094442356291767,0.4276508044754227,0.01683977363184812,0.0015505790495055339,wsdld_20000_24000.csv,WSD linear,25,25,1
0.004487187642230267,4,0.012938400168924617,0.003092289277125885,-31.08624992582383,0.002532575742840691,core_wsd,20.0,0.9998554913294798,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,3.276747841898438e-05,0.15301451324062326,0.005707516346072979,0.0013913265664706935,wsdcon_3.csv,WSD-con 3e-5,25,25,1
0.002926482771138891,4,0.012938400168924617,0.0024732162227652983,-15.488440692141713,0.002532575742840691,core_wsd,20.0,0.9998554913294798,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,3.276747841898438e-05,0.15301451324062326,0.005707516346072979,0.0013913265664706935,wsdcon_9.csv,WSD-con 9e-5,25,25,1
0.002504818961791151,4,0.012938400168924617,0.002357293291675707,-5.889673959109243,0.002532575742840691,core_wsd,20.0,0.9998554913294798,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,3.276747841898438e-05,0.15301451324062326,0.005707516346072979,0.0013913265664706935,wsdcon_18.csv,WSD-con 18e-5,25,25,1
0.004428106847791531,4,0.05065284857148995,0.004428106847791531,0.0,0.002783779504201289,extra_control,7.221202285244404,0.0,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,0.00014100636168272527,0.4277860173279959,0.016845756266825433,0.001550700244941796,cosine_24000.csv,Cosine 24k,25,25,0
0.003761619732988638,4,0.050660354454602624,0.003761619732988638,0.0,0.0027838609305067016,extra_control,7.220283130832764,0.0,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,0.0001410313814917894,0.4278406326690459,0.01684817291301051,0.0015507492024444897,constant_24000.csv,Constant 24k,25,25,0
0.0015795124507172926,4,0.050660354454602624,0.0015795124507172926,0.0,0.0027838609305067016,extra_control,7.220283130832764,0.0,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,0.0001410313814917894,0.4278406326690459,0.01684817291301051,0.0015507492024444897,constant_72000.csv,Constant 72k,25,25,0
0.0037480705220761528,4,0.05059367388558115,0.002092750393289533,-44.16459399674517,0.00278313818924367,core_wsd,7.2284552974545955,0.8168498168498168,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,0.00014080918592510107,0.4273555312833288,0.016826710588931797,0.0015503144373614538,wsd_20000_24000.csv,WSD sharp,100,25,1
0.003248313740665229,4,0.05063426452557229,0.0020834246506765395,-35.86134785583025,0.0027835779759718877,core_wsd,7.223478858982098,0.8168498168498168,mpl_ld_tangent,1,mpl_ld4,two_point_five_roundfast20,mechanism_native_main_candidate,ridge_tau_0p05,0.00014094442356291767,0.4276508044754227,0.01683977363184812,0.0015505790495055339,wsdld_20000_24000.csv,WSD linear,100,25,1
