base_mae,corr_mae,curve,delta_pct,feature,group,kappa,label,origin_r2,pearson,scale,win
0.00744534704076948,0.004345099768276942,cosine_72000.csv,-41.64006399589033,S10_current,cosine,0.4814157232423702,Cosine 72k,0.6287990283133305,-0.03833892602063814,25,1
0.003408385839825258,0.0020677978415568985,wsd_20000_24000.csv,-39.33204928280916,S10_current,wsd,0.04769636075258367,WSD exp,0.6839290387101543,0.7998285798301222,25,1
0.0031360955249893426,0.0020924799674051755,wsdld_20000_24000.csv,-33.2775436611649,S10_current,wsd,0.051012194550503306,WSD linear,0.5978493524296391,0.742177661440994,25,1
0.004487187642230267,0.0027691802587348677,wsdcon_3.csv,-38.286952106186014,S10_current,probe,0.017559440308880705,WSD-con 3e-5,0.7557723542619157,0.8694804302664781,25,1
0.002926482771138891,0.002199432037829934,wsdcon_9.csv,-24.84384123081691,S10_current,probe,0.016135752669323045,WSD-con 9e-5,0.4667765673717962,0.7742908469156718,25,1
0.002504818961791151,0.0019511367245959523,wsdcon_18.csv,-22.104680842853032,S10_current,probe,0.03096651876116605,WSD-con 18e-5,0.45153607377125293,0.6301224745790837,25,1
0.007265129575917493,0.003712420560600379,cosine_72000.csv,-48.90083484668547,S10_current,cosine,0.5358652541815773,Cosine 72k,0.7420315255037192,0.4248616057690051,100,1
0.0037480705220761528,0.0016506139137705625,wsd_20000_24000.csv,-55.96096967630575,S10_current,wsd,0.07542027714846393,WSD exp,0.8972515186882648,0.9645067924639875,100,1
0.003248313740665229,0.0015944714981311872,wsdld_20000_24000.csv,-50.913870228414204,S10_current,wsd,0.07879446245039433,WSD linear,0.8570136103101511,0.9575628569010617,100,1
0.0056693997340904675,0.004437767432249657,wsdcon_3.csv,-21.724209962386777,S10_current,probe,0.02131705969865454,WSD-con 3e-5,0.5726556993798417,0.7749996484485984,100,1
0.004934623402238123,0.004657600930585799,wsdcon_9.csv,-5.613852346395454,S10_current,probe,0.015428668529379243,WSD-con 9e-5,0.12929593649029747,0.5815254899829824,100,1
0.0013816404339982303,0.0012230851683060861,wsdcon_18.csv,-11.475870406695643,S10_current,probe,0.018248042675668277,WSD-con 18e-5,0.36486551006902,0.5677353309044975,100,1
0.005612615040270773,0.004266571104636403,cosine_72000.csv,-23.982473873166832,S10_current,cosine,0.342376104647063,Cosine 72k,0.4270073780958741,0.551916276263263,400,1
0.004701998914275349,0.00202112646506367,wsd_20000_24000.csv,-57.01559056239899,S10_current,wsd,0.10121370162592601,WSD exp,0.8917672282616431,0.963082525253404,400,1
0.0038535563963712593,0.0018089736235327857,wsdld_20000_24000.csv,-53.05703517830376,S10_current,wsd,0.1016427946242588,WSD linear,0.8569154983588778,0.9545284127726328,400,1
0.008173606778800102,0.005066466603478869,wsdcon_3.csv,-38.0143094647057,S10_current,probe,0.03646705120003114,WSD-con 3e-5,0.7305317993042926,0.8828684614369375,400,1
0.006687305974578527,0.006143421859152095,wsdcon_9.csv,-8.13308255213656,S10_current,probe,0.028340519806877164,WSD-con 9e-5,0.2207855537806087,0.7339771420310919,400,1
0.0025579541942073844,0.0023915199619231175,wsdcon_18.csv,-6.506536851252676,S10_current,probe,0.025067531372228218,WSD-con 18e-5,0.19473012247343557,0.6135896551001622,400,1
0.00744534704076948,0.004221077501276733,cosine_72000.csv,-43.305832781698214,S20,cosine,0.9815792381585935,Cosine 72k,0.6440594080577655,0.021087547417292036,25,1
0.003408385839825258,0.0021628086383194524,wsd_20000_24000.csv,-36.544489387083715,S20,wsd,0.08890409131199264,WSD exp,0.6687169655413365,0.7843014062989657,25,1
