base_mae,corr_mae,delta_pct,feature,kappa,origin_r2,pearson,scale,test_curve,test_group,test_label,train_curves,train_id,win
0.0013816404339982303,0.002167299045270986,56.864187811816876,S10_current,0.07669378519592235,-3.378015300154627,0.5677353309044975,100,wsdcon_18.csv,probe,WSD-con 18e-5,wsd_20000_24000+wsdld_20000_24000,wsd,0
0.005612615040270773,0.004949258728716572,-11.819023873801937,S10_current,0.10137762438248095,0.2154359127524078,0.551916276263263,400,cosine_72000.csv,cosine,Cosine 72k,wsd_20000_24000+wsdld_20000_24000,wsd,1
0.004701998914275349,0.0020200915811281407,-57.03760000890029,S10_current,0.10137762438248095,0.8917648891476396,0.9630825252534043,400,wsd_20000_24000.csv,wsd,WSD exp,wsd_20000_24000+wsdld_20000_24000,wsd,1
0.0038535563963712593,0.0018095360457542151,-53.042440290787404,S10_current,0.10137762438248095,0.8569096661325066,0.9545284127726329,400,wsdld_20000_24000.csv,wsd,WSD linear,wsd_20000_24000+wsdld_20000_24000,wsd,1
0.008173606778800102,0.016114176237649325,97.14890468482886,S10_current,0.10137762438248095,-1.584029673212938,0.8828684614369376,400,wsdcon_3.csv,probe,WSD-con 3e-5,wsd_20000_24000+wsdld_20000_24000,wsd,0
0.006687305974578527,0.009711269437533986,45.2194571992206,S10_current,0.10137762438248095,-1.245579582915791,0.7339771420310919,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsd_20000_24000+wsdld_20000_24000,wsd,0
0.0025579541942073844,0.003470268437141855,35.66577716678634,S10_current,0.10137762438248095,-1.609840855350464,0.6135896551001624,400,wsdcon_18.csv,probe,WSD-con 18e-5,wsd_20000_24000+wsdld_20000_24000,wsd,0
0.00744534704076948,0.007243812992319932,-2.7068455955912007,S10_current,0.017738466523894544,0.045484343542155026,-0.038338926020638125,25,cosine_72000.csv,cosine,Cosine 72k,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.003408385839825258,0.0028557058009493846,-16.21530146082898,S10_current,0.017738466523894544,0.41411588210822303,0.7998285798301223,25,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0031360955249893426,0.002738388679321809,-12.681592205928904,S10_current,0.017738466523894544,0.34349060750103577,0.7421776614409941,25,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.004487187642230267,0.0027713089853676678,-38.23951199887322,S10_current,0.017738466523894544,0.7556937939998969,0.8694804302664781,25,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.002926482771138891,0.0021998246424053524,-24.830425652933098,S10_current,0.017738466523894544,0.46217143019277207,0.7742908469156718,25,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.002504818961791151,0.002141878729140058,-14.489679221829299,S10_current,0.017738466523894544,0.3691413342788542,0.6301224745790838,25,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.007265129575917493,0.007035758996111354,-3.1571436876564274,S10_current,0.020195301411305162,0.054876362737278916,0.42486160576900495,100,cosine_72000.csv,cosine,Cosine 72k,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0037480705220761528,0.0031225222092836806,-16.689875740277294,S10_current,0.020195301411305162,0.41618069135645086,0.9645067924639873,100,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.003248313740665229,0.002798171110583352,-13.857732535087308,S10_current,0.020195301411305162,0.3830127591207244,0.9575628569010615,100,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0056693997340904675,0.004426255684138396,-21.927260525959504,S10_current,0.020195301411305162,0.5710699390178572,0.7749996484485984,100,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.004934623402238123,0.004713302863362411,-4.485054295639479,S10_current,0.020195301411305162,0.11695490706545131,0.5815254899829824,100,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0013816404339982303,0.0012245832921661147,-11.3674396005927,S10_current,0.020195301411305162,0.3607107346055919,0.5677353309044975,100,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.005612615040270773,0.00535816226437363,-4.5335868231017535,S10_current,0.03469206327068291,0.08215086808859995,0.5519162762632631,400,cosine_72000.csv,cosine,Cosine 72k,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.004701998914275349,0.0036201808154812357,-23.007621195098427,S10_current,0.03469206327068291,0.5065561527129198,0.9630825252534039,400,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0038535563963712593,0.0030749419735874115,-20.205087007862087,S10_current,0.03469206327068291,0.48512742480885396,0.9545284127726329,400,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.008173606778800102,0.0050652972800771905,-38.02861555298867,S10_current,0.03469206327068291,0.7288010720228213,0.8828684614369374,400,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.006687305974578527,0.006164619186125427,-7.816103980288458,S10_current,0.03469206327068291,0.2096960125705708,0.7339771420310919,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0025579541942073844,0.002389361038730287,-6.590937236440153,S10_current,0.03469206327068291,0.16602435020348227,0.6135896551001623,400,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.00744534704076948,0.007245846983129775,-2.6795266432481424,S10_current,0.017559440308880705,0.045033819913246065,-0.03833892602063815,25,cosine_72000.csv,cosine,Cosine 72k,wsdcon_3,probe3,1
