cosine_to_wsd,feature,max_kappa,mean_all,mean_kappa,mean_off_group,mean_wsd_targets,probe_to_wsd,tests_all,train_id,wins_all,worst_off_group
nan,S200,0.01472440881567816,-1.0543950544224083,0.011668490519603936,-1.0543950544224083,-0.5591602786688724,-0.5591602786688724,18,probe9,16,0.2976353910869811
nan,S200,0.026114686159755388,-0.7807017074235207,0.02326837307344912,-0.7775714801535086,-1.078640918975754,-1.078640918975754,18,probe,15,-0.16069838914780643
nan,local_drop,0.012907033417656043,-0.6691006841385955,0.00852635519053669,-0.6691006841385955,-0.010096405641368822,-0.010096405641368822,18,probe9,18,-0.0005752834857819522
nan,local_drop,0.009964773889253011,-0.592427133444272,0.006243610876262018,-0.592427133444272,-0.0074437154886826855,-0.0074437154886826855,18,probe3,18,-0.0003493227630269047
nan,S200,0.038074983637637776,-0.5782455191337115,0.030204567943863652,-0.5782455191337115,-1.3832763158300603,-1.3832763158300603,18,probe3,13,4.502101043125317
nan,local_drop,0.012732935964682213,-0.6512125491927496,0.007874433943403283,-0.006716546794688977,-0.009390475679584473,-0.009390475679584473,18,probe,18,-0.0004449279749296764
nan,step_tau1024,0.07717731435074902,-12.027040555260623,0.05798016116232133,2.4443956019424227,-40.96991286966671,nan,18,wsd,13,90.50320079386915
nan,step_tau512,0.126510171739749,-6.535263048400722,0.09576870376220994,7.107921123916722,-33.821631393035624,nan,18,wsd,13,75.2933063816091
nan,step_tau2048,0.051476834337404145,-10.693322477597796,0.038444985531187276,7.654117849290067,-47.38820313137352,nan,18,wsd,13,117.22214347161852
nan,S10_cap512,0.134446775521445,-5.502329352326773,0.1015639338814249,9.570718525602677,-35.64842510818567,nan,18,wsd,13,82.24925289275966
