baseline,mean_delta,median_delta,nonharm,rows,variant,wins,worst_delta
pure_mpl,-13.001624263939867,-30.09667902314793,9,15,smooth_only,9,52.166860258488114
first_error,30.40106012417031,2.819908968996554,6,15,smooth_only,6,145.75756633705862
pure_mpl,-35.288874468903856,-32.18418573472464,15,15,step_only,15,-9.733897980311546
first_error,-2.4178773586600717,-1.6391037624034932,12,15,step_only,12,6.227523968953963
pure_mpl,-36.33065839347821,-33.39103257988639,14,15,smooth_plus_step,14,12.667543531435111
first_error,-4.013935688595731,-3.3651883395157123,10,15,smooth_plus_step,10,32.590129774277756
