channel,delta_first_vs_pure_pct,delta_refit_mpl_vs_pure_pct,delta_vs_first_error_pct,delta_vs_pure_pct,final_error_mae,final_smooth_coef,final_step_curvature_coef,final_step_primary_coef,final_target_retention,first_error_mae,first_smooth_coef,first_step_curvature_coef,first_step_primary_coef,first_target_retention,pure_mpl_mae,refit_mpl_mae,scale,test_curve,test_label,variant,win_vs_first_error,win_vs_pure
smooth,-29.5084918638418,66.74522635541005,98.22058410546279,39.72867917224261,0.006012980165085883,0.0222744647122946,0.011496529747568849,0.04619057224200863,0.2662406679882105,0.0030334791879569334,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.2662406679882105,0.004303325702859985,0.007175590184044422,25,wsd_20000_24000.csv,WSD sharp,smooth_only,0,0
smooth,-16.880609023662686,66.9703014069064,83.07023002828238,52.166860258488114,0.005874557417456613,0.0222744647122946,0.011496529747568849,0.04619057224200863,0.3198517221283153,0.0032089091801266964,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.3198517221283153,0.003860602372604268,0.006446059417659526,25,wsdld_20000_24000.csv,WSD linear,smooth_only,0,0
step,-52.87815483344662,84.36442819420465,145.75756633705862,15.80549989443847,0.009949320733157158,0.0222744647122946,0.011496529747568849,0.04619057224200863,0.4107272396818095,0.004048429060170452,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.4088909831017751,0.008591406057766149,0.01583949665224282,25,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0,0
step,-28.40013634317151,54.6028310830172,75.81744575258837,25.885051443771665,0.0076188306662877976,0.0222744647122946,0.011496529747568849,0.04619057224200863,0.7218315949116056,0.004333375811299792,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.7200309593150199,0.006052212378600692,0.009356891680473486,25,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0,0
step,-14.273967180468016,51.53578599102531,60.54710765164908,37.630666196262055,0.005690185627439395,0.0222744647122946,0.011496529747568849,0.04619057224200863,0.8514911086711984,0.003544246738960761,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.8503186355117636,0.004134387912738256,0.006265077219485863,25,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0,0
smooth,-47.42184213260951,-5.261313541907331,-15.676443757804115,-55.66422747958044,0.0019263406819660072,0.03839455192837721,0.015235452441789782,0.0688979093008342,0.2686449951276333,0.002284463283822057,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.2686449951276333,0.004344890305179187,0.004116292003171776,100,wsd_20000_24000.csv,WSD sharp,smooth_only,1,1
smooth,-31.81491325220902,-7.1965641284088555,-18.6341656799634,-44.520635285819154,0.0020071772678229077,0.03839455192837721,0.015235452441789782,0.0688979093008342,0.32237714656014427,0.0024668551420834305,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.32237714656014427,0.0036178807709199698,0.0033575176611513415,100,wsdld_20000_24000.csv,WSD linear,smooth_only,1,1
step,-55.24595238697489,6.528717938847972,-2.5408046783411242,-56.383065322473655,0.003457982966937056,0.03839455192837721,0.015235452441789782,0.0688979093008342,0.4418300754102861,0.003548134124773109,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.4419653381166076,0.007928074250295227,0.00844567585607944,100,wsdcon_3.csv,WSD-con 3e-5,smooth_only,1,1
step,-27.87233648379296,0.864332242644017,-3.083896567445532,-30.09667902314793,0.004373638995673453,0.03839455192837721,0.015235452441789782,0.0688979093008342,0.7495219486158605,0.004512809368896204,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.7496484466122557,0.0062566970131816045,0.006310775662791078,100,wsdcon_9.csv,WSD-con 9e-5,smooth_only,1,1
step,-25.665027953071707,-5.018339908111935,-8.85543624219044,-32.247714008337525,0.0018098154039192197,0.03839455192837721,0.015235452441789782,0.0688979093008342,0.8679361843657386,0.001985653701441024,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.8680182587039743,0.0026712241180200675,0.0025371730120703553,100,wsdcon_18.csv,WSD-con 18e-5,smooth_only,1,1
