objective,p0,p1,p2,p3,p4,p5,p6,scale,smooth_coef,stage,step_curvature_coef,step_primary_coef,variant
,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,5.0,5.0,25,,pure_mpl,,,smooth_only
4.390575197886681e-05,3.079026012908737,0.46863460995768885,0.5718811134783407,420.5913346414985,100.0,5.0,5.0,25,,refit_mpl,,,smooth_only
,,,,,,,,25,0.02420899317439569,first_error,0.011031540753919438,0.04769938361833003,smooth_only
,,,,,,,,25,0.0222744647122946,final_error,0.011496529747568849,0.04619057224200863,smooth_only
,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,100,,pure_mpl,,,smooth_only
0.00013676372750844124,2.680320123284353,0.5688502257097873,0.4733569229753389,437.9548207782567,2.1550987709217466,1.0778624562915717,1.1083074746747787,100,,refit_mpl,,,smooth_only
,,,,,,,,100,0.03800463456838331,first_error,0.01525007605232624,0.06853553713634956,smooth_only
,,,,,,,,100,0.03839455192837721,final_error,0.015235452441789782,0.0688979093008342,smooth_only
,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.8935018582376154,0.9182280036804193,400,,pure_mpl,,,smooth_only
0.00019115899681902877,2.406518805337725,0.6088866499431469,0.4470730738198374,523.4317978304124,2.0506141793215567,1.1061611573608388,1.129982251832818,400,,refit_mpl,,,smooth_only
,,,,,,,,400,0.04898284995669083,first_error,0.02023703096506908,0.09120634014503035,smooth_only
,,,,,,,,400,0.049563657859896165,final_error,0.020262860860645823,0.09193540488924726,smooth_only
,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,5.0,5.0,25,,pure_mpl,,,step_only
0.00010953674868978002,3.0672694330433354,0.4981483537196691,0.5368246839438461,363.9852244489528,2.507498550934683,5.0,5.0,25,,refit_mpl,,,step_only
,,,,,,,,25,0.02420899317439569,first_error,0.011031540753919438,0.04769938361833003,step_only
,,,,,,,,25,0.024260700254475177,final_error,0.011025910867069036,0.04774580530170051,step_only
,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,100,,pure_mpl,,,step_only
0.00011525831438130807,2.681558311722409,0.5679136736312816,0.473569347311297,437.954063812125,2.152395200825761,1.0289464794395686,1.0575849520826242,100,,refit_mpl,,,step_only
,,,,,,,,100,0.03800463456838331,first_error,0.01525007605232624,0.06853553713634956,step_only
,,,,,,,,100,0.03811961463429118,final_error,0.015254320470966042,0.06868567453775784,step_only
,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.8935018582376154,0.9182280036804193,400,,pure_mpl,,,step_only
0.0001640111015571555,2.408041564272952,0.6077645718123746,0.44722139613354245,523.4296625383217,2.043263163004435,0.9686405491151967,0.9938455458033915,400,,refit_mpl,,,step_only
,,,,,,,,400,0.04898284995669083,first_error,0.02023703096506908,0.09120634014503035,step_only
,,,,,,,,400,0.04918112306640413,final_error,0.02027062684476877,0.09157244398517646,step_only
,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,5.0,5.0,25,,pure_mpl,,,smooth_plus_step
0.00013182609055694823,3.066506421330494,0.49856803255742904,0.5373979833913591,363.9852238855183,2.507498550934683,5.0,5.0,25,,refit_mpl,,,smooth_plus_step
,,,,,,,,25,0.02420899317439569,first_error,0.011031540753919438,0.04769938361833003,smooth_plus_step
,,,,,,,,25,0.024413874141470112,final_error,0.011009814553681966,0.04787836384309757,smooth_plus_step
,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,100,,pure_mpl,,,smooth_plus_step
0.00015026933991536996,2.6794545567534502,0.5695029332977379,0.4730295435299197,437.9557167056139,2.157585733699891,1.122417149784832,1.155802931209764,100,,refit_mpl,,,smooth_plus_step
,,,,,,,,100,0.03800463456838331,first_error,0.01525007605232624,0.06853553713634956,smooth_plus_step
,,,,,,,,100,0.03856655072029441,final_error,0.015223512791301809,0.06902058433191455,smooth_plus_step
,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.8935018582376154,0.9182280036804193,400,,pure_mpl,,,smooth_plus_step
0.00020964824355657744,2.4052925537064533,0.6098190692898443,0.44663797983534914,523.4316708175357,2.049915586446709,1.0906316384296548,1.1152241902063742,400,,refit_mpl,,,smooth_plus_step
,,,,,,,,400,0.04898284995669083,first_error,0.02023703096506908,0.09120634014503035,smooth_plus_step
,,,,,,,,400,0.04978424837431471,final_error,0.020244003340736758,0.09207739811849934,smooth_plus_step
